ObjectType,TableName,ColumnName,DataType,MaxLength
TABLE,Departments,DepartmentId,int,
TABLE,Departments,DepartmentName,nvarchar,100
TABLE,Departments,IsActive,bit,
TABLE,Clinics,ClinicId,int,
TABLE,Clinics,ClinicName,nvarchar,150
TABLE,Clinics,DepartmentId,int,
TABLE,Clinics,City,nvarchar,100
TABLE,Clinics,IsActive,bit,
TABLE,Providers,ProviderId,int,
TABLE,Providers,FirstName,nvarchar,50
TABLE,Providers,LastName,nvarchar,50
TABLE,Providers,DepartmentId,int,
TABLE,Providers,Email,nvarchar,255
TABLE,Providers,IsActive,bit,
TABLE,Patients,PatientId,int,
TABLE,Patients,FirstName,nvarchar,50
TABLE,Patients,LastName,nvarchar,50
TABLE,Patients,DateOfBirth,date,
TABLE,Patients,Email,nvarchar,255
TABLE,Patients,IsActive,bit,
TABLE,Appointments,AppointmentId,int,
TABLE,Appointments,PatientId,int,
TABLE,Appointments,ProviderId,int,
TABLE,Appointments,ClinicId,int,
TABLE,Appointments,AppointmentDateTime,datetime2,
TABLE,Appointments,Status,nvarchar,20
TABLE,DeploymentLog,DeploymentId,int,
TABLE,DeploymentLog,DeploymentDate,datetime2,
TABLE,DeploymentLog,CommitSha,nvarchar,100
TABLE,DeploymentLog,Environment,nvarchar,50
TABLE,DeploymentLog,Status,nvarchar,20
TABLE,DeploymentLog,ExecutedBy,nvarchar,255
TABLE,DeploymentLog,ErrorMessage,nvarchar,4000
